Created on 07-08-2020,https://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-05-09,BTCUSD,9810,9920.73,9521,9537.21,17301.82,167969041.7
2020-05-08,BTCUSD,10004.77,10049,9730,9810,25608.21,254238454.39
2020-05-07,BTCUSD,9155.79,10079,9029.56,10004.77,35864.45,346011314.22
2020-05-06,BTCUSD,9028.79,9418,8922.13,9155.79,26268.77,242153812.69
2020-05-05,BTCUSD,8883.53,9126.27,8769.69,9028.79,15964.71,142722472.92
2020-05-04,BTCUSD,8909.95,8970,8533.98,8883.53,17935.43,157326885
2020-05-03,BTCUSD,8985.58,9203.52,8731.01,8909.95,15894.41,142739182.28
2020-05-02,BTCUSD,8829.42,9025,8762.01,8985.58,10338.51,91953816.98
2020-05-01,BTCUSD,8624.28,9075.98,8622.72,8829.42,21274.62,187177149.99
2020-04-30,BTCUSD,8793.75,9478.66,8407,8624.28,41170.87,366591786.02
2020-04-29,BTCUSD,7755.01,8988,7720,8793.75,44175.18,371817061.82
2020-04-28,BTCUSD,7789.77,7794.74,7672,7755.01,10982.39,84894779.39
2020-04-27,BTCUSD,7706.4,7810.99,7635.69,7789.77,14852.08,114568679.29
2020-04-26,BTCUSD,7547.61,7715,7493.27,7706.4,8832.65,67273131.81
2020-04-25,BTCUSD,7514.64,7720,7437.94,7547.61,6924.39,52283945.47
2020-04-24,BTCUSD,7488.83,7612.24,7390,7514.64,13339.81,100288369.45
2020-04-23,BTCUSD,7136.84,7773.41,7031.14,7488.83,19291.52,142933338.76
2020-04-22,BTCUSD,6853.68,7167.37,6826,7136.84,13050.92,91832442.38
2020-04-21,BTCUSD,6838.19,6959,6776,6853.68,14391.36,98747231.99
2020-04-20,BTCUSD,7130.71,7227.11,6748.72,6838.19,17338.74,120997236.95
2020-04-19,BTCUSD,7261.76,7275,7063.02,7130.71,8667.4,62079152.03
2020-04-18,BTCUSD,7037.46,7308,7021,7261.76,11252.44,80945066.4
2020-04-17,BTCUSD,7112.64,7156.66,7000,7037.46,13438.45,95000679.22
2020-04-16,BTCUSD,6624.12,7217.27,6456,7112.64,26737.11,185593266.19
2020-04-15,BTCUSD,6877.37,6940,6605.89,6624.12,14391.16,97358749.42
2020-04-14,BTCUSD,6861.21,6997.38,6771.41,6877.37,12763.77,87902570.31
2020-04-13,BTCUSD,6908.13,6908.13,6593.17,6861.21,20044.97,135363782.75
2020-04-12,BTCUSD,6889.65,7200,6787.44,6908.13,12210.75,85573914.29
2020-04-11,BTCUSD,6871.91,6955,6775,6889.65,8019.3,55032638.01
2020-04-10,BTCUSD,7293.24,7305.91,6750,6871.91,18797.12,130567339.89
2020-04-09,BTCUSD,7370.11,7377,7110,7293.24,12106,88238827.54
2020-04-08,BTCUSD,7200.01,7430,7154.22,7370.11,15236.66,111402209.75
2020-04-07,BTCUSD,7341.56,7466,7073,7200.01,22182.73,162226198.1
2020-04-06,BTCUSD,6778.25,7373.37,6773.28,7341.56,26701.38,189929124.7
2020-04-05,BTCUSD,6874.77,6925,6681,6778.25,8595.09,58377261.58
2020-04-04,BTCUSD,6741.99,7025.53,6658.16,6874.77,9275.75,63103022.6
2020-04-03,BTCUSD,6804.52,7050,6606.06,6741.99,14565.52,99265773.28
2020-04-02,BTCUSD,6666.11,7285.35,6570.92,6804.52,26695.18,182281097.4
2020-04-01,BTCUSD,6424.35,6744.99,6160,6666.11,17277.04,109603135.32
2020-03-31,BTCUSD,6406.4,6524.79,6333.91,6424.35,11772.78,75959673.35
2020-03-30,BTCUSD,5877.21,6631.23,5853,6406.4,22757.77,143595730.28
2020-03-29,BTCUSD,6251.82,6279.96,5870.46,5877.21,15449.07,93617342.56
2020-03-28,BTCUSD,6372.36,6372.36,6030,6251.82,19731.24,122693614.84
2020-03-27,BTCUSD,6758.18,6880,6260,6372.36,19342.26,129042880.13
2020-03-26,BTCUSD,6690.96,6795,6520.13,6758.18,16824.91,112385458.91
2020-03-25,BTCUSD,6766.64,6983.31,6470,6690.96,30099.97,200739363.91
2020-03-24,BTCUSD,6490.63,6866.1,6403.16,6766.64,39480.7,262796643.69
2020-03-23,BTCUSD,5818.25,6641.03,5678.2,6490.63,40236.51,249807429.2
2020-03-22,BTCUSD,6198.78,6420,5738,5818.25,26866.94,162529507.29
2020-03-21,BTCUSD,6206.1,6470,5851,6198.78,22828.48,141075642.29
2020-03-20,BTCUSD,6186.26,6990,5660,6206.1,50978.38,324635007.68
2020-03-19,BTCUSD,5413.64,6441.37,5261.69,6186.26,51871.73,307820033.62
2020-03-18,BTCUSD,5331.71,5452.82,5001,5413.64,35777.32,188712720.94
2020-03-17,BTCUSD,5037.61,5569.44,4935.6,5331.71,43433.32,230660885.99
2020-03-16,BTCUSD,5345.35,5350.3,4432.3,5037.61,75500.9,370890668.88
2020-03-15,BTCUSD,5165.25,5985,5085.91,5345.35,41872.18,225421528.24
2020-03-14,BTCUSD,5637.6,5669,5050,5165.25,31973.85,172250705.78
2020-03-13,BTCUSD,4857.1,5995,3858.03,5637.6,117495.29,608984267.14
